sentence,audio_file_path
I usually wake up at seven o'clock.,./data/writing__dictation/question_0.wav
Please turn off the lights before you leave.,./data/writing__dictation/question_1.wav
What time does the movie start?,./data/writing__dictation/question_2.wav
I forgot to bring my umbrella today.,./data/writing__dictation/question_3.wav
Could you help me carry this box?,./data/writing__dictation/question_4.wav
She is waiting for the bus at the corner.,./data/writing__dictation/question_5.wav
We had dinner at a small restaurant last night.,./data/writing__dictation/question_6.wav
Don't forget to lock the door.,./data/writing__dictation/question_7.wav
I need to buy some milk after work.,./data/writing__dictation/question_8.wav
The weather is much warmer today.,./data/writing__dictation/question_9.wav
